,Name,Rating,Reviews,Salaries,Interviews,Jobs,Benefits
28,WNS,3.3,14.6k,69.5k,1.2k,92,1.3k
29,Tata Motors,4.1,13.8k,42.8k,1.2k,167,1.6k
30,AU Small Finance Bank,3.9,13.8k,28.7k,646,18,577
31,Ernst & Young,3.4,13.7k,1.4L,1.3k,3.4k,1.2k
32,IDFC FIRST Bank,3.9,13.7k,49k,874,56,695
33,IndusInd Bank,3.4,13.7k,51.7k,737,159,793
34,Flipkart,3.9,12.5k,53.1k,1.6k,193,1.4k
35,Bajaj Finserv,3.9,12.4k,30.2k,684,1,719
36,PwC,3.3,11.9k,1.2L,1.5k,1.2k,800
37,Muthoot FinCorp,4.5,11.8k,8.9k,1.7k,78,275
38,Mahindra & Mahindra,4.0,11.7k,39.3k,817,,1.2k
39,DXC Technology,3.6,11.7k,72.3k,878,267,1.1k
40,Infosys BPM,3.5,11.7k,71.8k,1.1k,77,1.1k
41,HDFC Life,3.9,11.6k,32.7k,753,95,613
42,Bandhan Bank,3.7,10.5k,25.2k,701,9,517
43,Conneqt Business Solutions,3.6,10k,26.2k,545,377,772
44,Mphasis,3.3,9.9k,72.8k,896,37,845
45,Yes Bank,3.7,9.8k,43.2k,524,209,608
46,Tata Steel,4.0,9.7k,33.5k,1k,,659
47,Quess,3.8,9.4k,30.3k,512,3,439
48,Startek,3.1,9.2k,24.1k,596,138,681
49,Asian Paints,3.9,9.2k,24.5k,797,42,884
50,UltraTech Cement,4.1,9.1k,23.1k,752,23,619
51,Paytm,3.2,9k,33.3k,862,626,582
52,Shriram Finance,4.0,8.9k,15k,421,5,28
53,Maruti Suzuki,4.2,8.8k,27k,742,682,977
54,Bajaj Finance,3.9,8.7k,22.3k,404,4.6k,497
55,Sutherland Global Services,3.4,8.6k,33.9k,766,291,901
56,EXL Service,3.6,8.4k,43.5k,872,1.4k,799
57,Cipla,4.1,8.3k,25.6k,567,80,850
58,Samsung,3.9,8.3k,26.3k,604,48,528
59,Ericsson,4.0,8.3k,42.5k,458,41,998
60,Wells Fargo,3.7,8.1k,55.3k,666,24,855
61,Dr. Reddy's,4.0,8k,25.7k,482,18,740
62,Optum Global Solutions,4.0,7.7k,47.8k,737,79,686
63,Delhivery,3.8,7.6k,21k,587,160,656
64,ICICI Prudential Life Insurance,4.0,7.6k,22.9k,464,103,625
65,HGS,3.8,7.5k,20.9k,267,15,968
66,Equitas Small Finance Bank,4.3,7.6k,13.2k,529,17,397
67,JPMorgan Chase & Co.,3.8,7.5k,83.5k,843,735,844
68,JSW Steel,3.9,7.5k,29.9k,764,100,600
69,Jana Small Finance Bank,3.8,7.4k,14.2k,297,53,623
70,Amazon Development Centre India,3.8,7.4k,37.8k,861,13,20
71,Sun Pharmaceutical Industries,4.1,7.4k,23.3k,633,401,593
72,Hexaware Technologies,3.4,7.3k,52.5k,807,802,547
73,Lupin,4.1,7.2k,22.6k,429,56,764
74,L&T Construction,4.0,7.2k,19.7k,912,,780
75,Zydus Lifesciences,3.9,7.1k,19.7k,404,24,605
76,Hindustan Unilever,4.2,7.1k,20.1k,445,59,704
77,Ekart Logistics,3.9,7.1k,15.7k,395,1,422
78,KPMG India,3.4,6.9k,64.2k,905,95,749
79,Ujjivan Small Finance Bank,4.0,6.9k,12.6k,298,196,579
80,ITC,3.9,6.9k,24k,661,84,637
81,Axis Max Life Insurance,4.0,6.9k,19.8k,386,189,495
82,Megha Engineering & Infrastructures,3.9,6.7k,18.2k,543,32,539
83,Tata Projects,4.2,6.6k,22.1k,560,28,540
84,FIS,3.8,6.4k,38.8k,528,161,721
85,Coforge,3.2,6.4k,47.7k,659,139,273
86,Bajaj Life Insurance,3.9,6.3k,16.9k,427,75,474
87,L&T Technology Services,3.1,6.3k,41.8k,611,,415
88,IIFL Finance,4.0,6.2k,13.6k,311,36,433
89,Cholamandalam Investment & Finance,3.8,6.2k,12.6k,262,20,293
90,Oracle,3.5,6.2k,62k,939,1.2k,617
91,Indian Army,4.7,6.2k,9.5k,194,,728
92,Omega Healthcare,3.8,6.1k,26k,523,162,390
93,Muthoot Finance,3.7,6.1k,12.9k,327,7,325
94,JLL,4.1,6.1k,23.9k,463,252,540
95,HCL Group,3.5,6k,40.4k,509,,661
96,eClerx,3.1,6k,31.4k,617,76,555
97,Piramal Finance,4.2,5.9k,12.9k,282,2,445
98,Virtusa Consulting Services,3.7,5.9k,56k,650,1.6k,318
99,DMart,3.9,5.9k,18k,523,179,473
100,HSBC Group,3.9,5.8k,42.2k,537,106,1.1k
101,Udaan,3.9,5.8k,15.9k,365,5,755
102,Indiamart Intermesh,3.5,5.8k,19.8k,732,283,431
103,SMFG India Credit,3.9,5.7k,10.7k,196,93,347
104,Aurobindo Pharma,4.0,5.7k,20.9k,283,11,468
105,Siemens,3.9,5.6k,33.3k,495,201,632
106,BigBasket,3.9,5.6k,18.9k,457,84,380
107,Access Healthcare,3.7,5.6k,27.8k,372,615,347
108,CGI Group,4.0,5.6k,46.6k,556,128,398
109,Manappuram Finance,3.9,5.6k,9.3k,211,11,260
110,Shapoorji Pallonji Group,4.1,5.6k,15.2k,407,82,632
111,Firstsource Solutions,3.5,5.6k,23.9k,351,195,570
112,ICICI Lombard General Insurance Company,3.5,5.6k,19.8k,345,130,366
113,GlobalLogic,3.5,5.5k,40k,673,70,515
114,Standard Chartered,3.6,5.5k,41.9k,315,,305
115,Mahindra Finance,3.9,5.5k,11.9k,200,423,507
116,Apollo Hospitals,4.1,5.5k,16.3k,456,235,506
117,Bosch Global Software Technologies,3.7,5.4k,39.2k,380,13,625
118,UST,3.7,5.4k,38.9k,571,135,407
119,Ashok Leyland,4.0,5.4k,18.4k,307,,642
120,PolicyBazaar,3.6,5.4k,16.8k,575,448,231
121,Citicorp,3.7,5.4k,51.2k,614,,517
122,Swiggy,3.7,5.3k,22.5k,540,266,342
123,Cyient,3.6,5.3k,27.3k,321,93,466
124,Hero MotoCorp,4.1,5.3k,15.6k,395,4,584
125,SBI Cards & Payment Services,3.7,5.1k,15.9k,289,104,344
126,JustDial,3.5,5.1k,15.4k,382,66,372
127,Kalpataru Projects International,4.1,5.1k,13.7k,312,,203
128,BNY,3.7,5k,30.6k,384,,527
129,IQVIA,3.7,5k,30.4k,528,19,524
130,SBI Life Insurance Company,3.7,5k,11.6k,296,7,327
131,CBRE,4.1,5k,18.5k,332,18,443
132,TVS Motor,3.9,5k,15.6k,381,78,536
133,NTT Data,3.8,4.9k,35.2k,714,214,156
134,Schneider Electric,4.1,4.9k,24k,436,30,463
135,Nagarjuna Construction Company,4.1,4.9k,12k,409,13,407
136,Persistent Systems,3.6,4.9k,43.7k,696,352,369
137,vivo,4.1,4.9k,13k,227,4,643
138,State Bank of India,3.8,4.8k,11.5k,300,13,400
139,Atos,3.8,4.8k,33.7k,403,95,454
140,Ecom Express,4.0,4.8k,9.4k,256,,323
141,Eviden,3.6,4.8k,28.2k,314,7,1
142,KEC International,4.0,4.7k,13.1k,401,3,441
143,Amdocs,3.6,4.7k,37.2k,557,13,614
144,Nagarro,3.9,4.7k,31.8k,826,390,1.1k
145,JBM Group,3.9,4.7k,13.9k,333,37,342
146,Varun Beverages,4.0,4.6k,12.1k,323,28,321
147,Home Credit Finance,4.0,4.6k,9.5k,142,110,629
148,Bosch,4.2,4.6k,20.6k,370,82,599
149,EY Global Delivery Services ( EY GDS),3.5,4.5k,47.6k,868,11,146
150,ITC Infotech,3.6,4.5k,29.3k,406,69,281
151,Hewlett Packard Enterprise,4.1,4.5k,26.9k,262,131,546
152,Mahindra Logistics,3.7,4.5k,13.1k,241,,445
153,OPPO,3.9,4.5k,11.8k,247,8,602
154,Aditya Birla Fashion and Retail,4.1,4.5k,12.7k,259,76,391
155,L&T Finance,3.9,4.5k,11.6k,207,,260
156,Randstad,3.7,4.4k,16.1k,312,8,331
157,Dell,3.8,4.4k,28.6k,421,21,540
158,Utkarsh Small Finance Bank,3.6,4.4k,10.8k,285,19,269
159,CARS24,3.4,4.4k,15.3k,398,140,410
160,Havells,3.9,4.4k,14.9k,269,39,315
161,R1 RCM,3.8,4.4k,20.9k,349,133,333
162,Intas Pharmaceuticals,4.1,4.4k,17.2k,250,65,362
163,Hyundai Motor India Limited,4.1,4.3k,13.7k,312,4,518
164,Tata AIA Life Insurance,3.9,4.3k,14k,241,639,297
165,Deutsche Bank,3.8,4.3k,35.6k,414,837,399
166,Hetero,3.9,4.3k,15k,284,153,332
167,Motilal Oswal Financial Services,3.7,4.3k,12.8k,531,67,167
168,Team Lease,3.9,4.2k,15.9k,240,1,215
169,Berger Paints,3.7,4.2k,9.9k,391,190,273
170,Lenskart,3.3,4.2k,12.9k,422,117,199
171,Thermax Limited,4.2,4.1k,13k,321,110,371
172,Bajaj Auto,3.8,4.1k,14.5k,314,,496
173,Macleods Pharmaceuticals,3.7,4.1k,15.5k,258,10,333
174,Aakash Educational Services,3.2,4.1k,13.3k,361,93,212
175,Jubilant Foods Works,3.7,4k,9k,242,176,180
176,LG Electronics,3.9,4k,10.8k,249,,399
177,VE Commercial Vehicles,3.9,4k,13.2k,271,5,340
178,Royal Enfield,4.2,4k,14.6k,193,23,396
179,John Deere,4.0,4k,15.1k,262,1,417
180,Tata Communications,3.9,3.9k,23.4k,294,25,426
181,Jindal Steel Limited,3.9,3.9k,15.2k,399,41,328
182,Hindalco Industries,4.2,3.9k,12.2k,278,18,329
183,HDFC Ergo General Insurance,3.9,3.9k,12k,188,19,273
184,DCB Bank,3.8,3.9k,9.6k,220,11,248
185,State Street Corporation,3.5,3.9k,30.9k,279,7,261
186,RBL Bank,3.5,3.9k,18.2k,228,59,221
187,Oyo Rooms,3.1,3.9k,14.9k,252,113,389
188,Cummins,4.3,3.9k,15.4k,272,13,458
189,Reliance Communications,4.0,3.8k,9.6k,102,,375
190,Carelon Global Solutions,3.9,3.8k,26.4k,405,22,7
191,Alembic Pharmaceuticals,3.9,3.8k,15.3k,246,45,378
192,Pidilite Industries,4.2,3.8k,11.3k,249,,359
193,Bank of America,4.2,3.8k,27.9k,281,,412
194,Kogta Financial India Limited,4.7,4k,1.8k,195,120,31
195,Publicis Sapient,3.4,3.8k,30.7k,679,260,391
196,Subros,3.8,3.8k,12.4k,213,1,379
197,XpressBees,4.2,3.7k,8k,435,8,176
198,PVR INOX,3.9,3.7k,9.4k,204,16,241
199,American Express,4.1,3.7k,24.3k,413,154,435
200,Viatris,4.1,3.7k,14.2k,161,5,500
201,Automatic Data Processing (ADP),3.9,3.7k,21.9k,287,29,457
202,Sodexo,4.0,3.7k,9.9k,195,1.5k,375
203,PNB MetLife,3.4,3.7k,8.1k,187,5,215
204,Escorts Kubota Limited,4.1,3.7k,13.2k,278,,255
205,Aditya Birla Sun Life Insurance,4.0,3.7k,9.9k,173,1,214
206,Tata Capital,3.9,3.6k,11.4k,187,2.4k,107
207,Kyndryl,3.9,3.6k,25.7k,217,21,163
208,Grasim Industries,4.0,3.6k,12.7k,266,3,267
209,Maersk,4.0,3.6k,18.7k,243,39,420
210,Glenmark Pharmaceuticals,3.8,3.6k,12k,177,124,317
211,Birlasoft,3.5,3.6k,29.5k,312,495,235
212,Dabur,3.8,3.6k,8.7k,321,12,275
213,Godrej & Boyce Manufacturing,3.9,3.6k,15.2k,217,47,412
214,Samvardhana Motherson Group,3.7,3.6k,12.1k,254,16,403
215,Cogent E Services,3.2,3.6k,10.2k,290,1,220
216,Synechron,3.5,3.6k,27.7k,401,46,237
217,Bharat Electronics,4.2,3.6k,12.3k,240,,312
218,JK Cement,4.0,3.6k,9.7k,322,1,257
219,Kotak Mahindara Life Insurance,3.5,3.6k,12.3k,256,243,256
220,Abbott,4.1,3.6k,11.7k,175,304,361
221,KPIT Technologies,3.0,3.6k,22.5k,334,46,289
222,Aarti Industries,4.0,3.5k,14.2k,322,2,351
223,Reliance Projects & Property Management Services,4.0,3.5k,7.2k,201,,20
224,Ipca Laboratories,3.9,3.5k,11.4k,193,44,245
225,Indian Oil Corporation,4.3,3.5k,7.6k,233,,290
226,Alkem Laboratories,3.9,3.4k,9.7k,190,25,328
227,MRF Tyres,3.6,3.4k,12.3k,362,15,345
228,Reliance Digital,4.1,3.4k,8.2k,159,,241
229,Johnson Controls,3.5,3.4k,17.1k,295,7,266
230,"NTT DATA, Inc.",3.9,3.4k,21.4k,148,83,624
231,IGT Solutions,3.2,3.4k,13.3k,244,68,213
232,Honda Motorcycle & Scooter,4.1,3.4k,11k,193,,348
233,Vishal Mega Mart,3.7,3.4k,6.1k,196,,273
234,Altruist Technologies,4.4,3.4k,8.1k,309,10,83
235,PhonePe,4.0,3.4k,12.3k,396,20,183
236,Hindustan Coca Cola Beverages,4.0,3.3k,7.5k,169,42,377
237,Ford Motor,4.2,3.3k,15k,172,,397
238,ArcelorMittal Nippon Steel,4.1,3.3k,11.6k,266,,111
239,UBS,3.9,3.3k,31.1k,368,3,117
240,24/7 Customer,3.4,3.3k,11.4k,181,66,406
241,DTDC Express,3.7,3.3k,8.4k,190,13,263
242,Reliance Nippon Life Insurance,3.4,3.3k,8.3k,162,1,229
243,Ceat Tyres,3.9,3.3k,12.9k,202,9,346
244,HARMAN,3.8,3.3k,24k,288,115,100
245,RSPL Group,4.0,3.3k,9.6k,240,31,293
246,ABB,4.1,3.3k,17.6k,277,516,346
247,UNO Minda,3.9,3.3k,10.8k,228,11,262
248,Cloudnine Hospital,4.4,3.2k,2.9k,927,7,78
249,Indian Air Force,4.5,3.2k,5.1k,78,,354
250,Barclays,3.7,3.2k,30.4k,302,,253
251,NatWest Group,4.0,3.2k,20.4k,233,196,362
252,AGS Health,4.0,3.2k,14k,200,25,272
253,Marpu Foundation,4.9,3.2k,61,253,,8
254,InterGlobe Aviation,3.5,3.2k,13.3k,363,108,315
255,Blinkit,3.7,3.2k,11.8k,300,1,202
256,TVS Credit Services Ltd,4.2,3.2k,7k,149,34,196
257,Conduent,3.4,3.2k,16.7k,224,839,366
258,Alstom Transportation,3.7,3.2k,14.6k,274,397,173
259,GeBBS Healthcare Solutions,3.7,3.2k,11.3k,174,72,290
260,Tata Technologies,3.5,3.2k,22.2k,304,128,308
261,Croma,3.8,3.1k,8.8k,173,20,186
262,Tata AIG,4.0,3.1k,11.4k,186,129,245
263,Max Healthcare,3.9,3.1k,10.2k,180,158,276
264,UPL,4.1,3.1k,11k,211,35,293
265,PepsiCo,4.0,3.1k,13k,230,206,244
266,Amazon Transportation Services,4.2,3.1k,8.1k,248,,246
267,Future Group,4.2,3.1k,6.8k,82,,423
268,Titan Company,4.2,3.1k,9.5k,190,97,339
269,Walmart,3.4,3.1k,21.6k,432,135,319
270,Dilip Buildcon,3.9,3.1k,8k,175,14,296
271,Bajaj General Insurance Limited,3.8,3.1k,9k,120,42,235
272,Mankind Pharma,3.8,3.1k,9.2k,242,11,246
273,Varroc Group,3.6,3k,9.3k,214,54,230
274,S&P Global,4.0,3k,20k,323,296,211
275,MSN Laboratories,3.6,3k,9.3k,165,38,155
276,Afcons Infrastructure,4.2,3k,8.4k,258,30,309
277,Jindal Stainless,4.2,3k,11.1k,301,8,185
278,Societe Generale Global Solution Centre,3.6,3k,22.4k,292,132,293
279,Torrent Pharmaceuticals,4.0,3k,10.1k,156,25,310
280,Quest Global,3.5,3k,20.9k,344,121,190
281,CMS IT Services,3.1,2.9k,9.5k,154,32,193
282,Square Yards,3.6,2.9k,9.1k,224,61,232
283,I Process Services,3.8,2.9k,5.4k,129,1,127
284,HDFC Sales,3.9,2.9k,8.3k,188,7,190
285,IDFC FIRST Bharat,4.2,2.9k,4.9k,139,13,70
286,Zensar Technologies,3.7,2.9k,25.5k,273,363,243
287,Shoppers Stop,4.0,2.9k,7k,135,7,320
288,ACC,3.9,2.9k,9.1k,227,20,270
289,Suzlon Group,4.0,2.9k,7.7k,160,16,322
290,DS Group,4.1,2.9k,7.1k,204,39,207
291,Fujitsu,3.8,2.9k,17.2k,209,114,190
292,ESAF Small Finance Bank,3.6,2.8k,7.5k,155,34,104
293,Eternal Limited,3.6,2.8k,14.4k,354,10,218
294,Tata Elxsi,3.5,2.8k,22.1k,335,36,202
295,Apollo Tyres,4.0,2.8k,9.7k,147,,320
296,Nokia,4.0,2.8k,16k,309,275,537
297,VVDN Technologies,3.6,2.8k,13.4k,249,10,127
298,Indus Towers,3.6,2.8k,8.9k,220,25,202
299,Ola Electric Mobility,3.3,2.8k,9k,281,,76
300,UnitedHealth,3.9,2.8k,14.6k,84,,432
301,Yazaki,3.9,2.8k,8.9k,171,2,253
302,IKS Health,3.5,2.8k,11k,258,31,225
303,Fiserv,2.9,2.8k,17.5k,193,5,311
304,Sagility,3.8,2.8k,10.9k,229,43,35
305,Bharat Financial Inclusion,3.7,2.7k,5k,114,1,174
306,Landmark Group,3.8,2.7k,9.1k,171,11,267
307,Shree Cement,3.8,2.7k,9.7k,200,1,214
308,Whitehat jr,3.3,2.7k,9.6k,264,,944
309,Britannia,4.0,2.7k,8k,213,2,248
310,Blue Dart Express Ltd,3.9,2.7k,6.6k,122,4,233
311,SRF,4.1,2.7k,8.8k,205,16,250
312,Exide Industries,3.4,2.7k,8.5k,207,55,242
313,Kansai Nerolac Paints,3.8,2.7k,7.6k,183,63,189
314,Shell,3.9,2.7k,13.7k,228,7,257
315,Flex,3.9,2.7k,15.8k,208,44,439
316,Capita,3.5,2.7k,12.9k,162,55,330
317,Micro Labs,3.6,2.6k,9.7k,149,15,205
318,ElasticRun,3.6,2.6k,6k,267,11,224
319,Dalmia Bharat Cement,3.9,2.6k,8.5k,185,2,237
320,Nestlé,3.8,2.6k,9.6k,274,14,319
321,TVS Supply Chain Solutions,3.8,2.6k,8.4k,149,18,190
322,KPMG Global Services,3.5,2.6k,23.6k,246,3,6
323,KFintech,3.4,2.6k,11k,167,7,47
324,G4S,4.0,2.6k,5k,125,517,235
325,Voltas,4.0,2.6k,8.7k,172,29,258
326,Sahrudaya Healthcare (Medicover Hospitals),4.4,2.6k,3.4k,140,19,36
327,Zepto,3.5,2.6k,8.6k,421,47,28
328,Star Health & Allied Insurance,3.5,2.6k,9.6k,150,36,164
329,BlackBuck,3.8,2.6k,6.3k,205,18,245
330,ZS,3.1,2.6k,19.5k,504,144,261
331,Ajanta Pharma,3.9,2.6k,8.8k,154,32,214
332,Sonalika Tractors,3.6,2.6k,8.7k,160,,173
333,suzuki motor gujarat,4.2,2.6k,7.9k,219,9,186
334,Blue Star,4.1,2.5k,9.7k,193,12,240
335,Domino's Pizza,3.9,2.5k,4.1k,114,1,392
336,ACT Fibernet,3.9,2.5k,7.6k,158,114,255
337,GATI-KWE,3.9,2.5k,5k,99,4,289
338,Care Health Insurance,3.5,2.5k,8.5k,151,63,166
339,Fortis Healthcare,4.0,2.5k,7.4k,178,2.3k,138
340,NoBroker,3.0,2.5k,10.5k,276,346,352
341,Bajaj Electricals,3.9,2.5k,7.6k,145,22,289
342,Sterlite Technologies,3.8,2.5k,10.1k,179,125,208
343,Gallagher,3.7,2.5k,13.7k,259,177,120
344,Movate,3.1,2.5k,14.6k,284,104,2
345,Sammaan Capital Limited,3.8,2.5k,6k,111,6,118
346,Exl India,3.5,2.5k,14.6k,121,1,163
347,Alldigi Tech,3.9,2.5k,7.4k,225,20,112
348,Adani Power,3.7,2.5k,9.5k,293,,161
349,Foundever,3.4,2.5k,8.4k,172,95,199
350,Tata Electronics,3.9,2.5k,10.2k,234,36,61
351,DBS Bank,3.7,2.5k,12.7k,189,336,192
352,V-Mart,4.1,2.5k,4.3k,187,15,210
353,Himalaya Wellness,4.0,2.5k,6k,143,31,255
354,Tractors and Farm Equipment,3.9,2.4k,8.3k,129,22,274
355,Paras Hospital,4.1,2.4k,3.1k,98,55,126
356,Statestreet HCL Services,3.4,2.4k,14k,217,,201
357,BT Group,3.8,2.4k,11.3k,223,17,264
358,Tata Advanced Systems,3.7,2.4k,12.4k,177,,132
359,Patanjali Ayurved,3.9,2.4k,5.9k,133,,248
360,Parle Agro,3.9,2.4k,6.5k,140,3,212
361,McDonald's,3.9,2.4k,4.8k,147,1,410
362,JCB,3.9,2.4k,9.5k,156,,233
363,Niva Bupa Health Insurance Company,3.6,2.4k,8.1k,161,101,119
364,IntouchCX,2.7,2.4k,9.7k,224,164,145
365,Laurus Labs,4.3,2.4k,7.1k,148,5,207
366,Mahindra Holidays & Resorts,3.5,2.4k,5.8k,122,58,202
367,ICICI Securities,3.9,2.4k,9.7k,186,5,184
368,Physicswallah,3.6,2.4k,7.8k,257,100,20
369,Emcure Pharmaceuticals,3.7,2.4k,8.3k,120,44,233
370,Mahindra Rural Housing Finance,4.0,2.4k,4.6k,102,1,180
371,Canara HSBC Life Insurance,3.6,2.4k,6.3k,129,8,168
372,Biocon Limited,4.0,2.4k,11.6k,177,16,2
373,Planet Spark,3.9,2.4k,3.3k,568,62,191
374,Datamatics Global Services,3.3,2.4k,11.5k,179,83,183
375,Axis Direct,3.6,2.4k,4.7k,86,18,226
376,Foxconn,3.9,2.4k,9.9k,210,13,182
377,Taj Hotels Resorts and Palaces,4.2,2.4k,4.7k,149,179,178
378,Intellect Design Arena,3.6,2.4k,13.4k,180,37,118
379,Photon Interactive,4.1,2.3k,7.2k,129,1.2k,123
380,Capgemini Engineering,3.4,2.3k,14.7k,393,1,139
381,Aditya Birla Capital,3.8,2.3k,9.4k,194,,164
382,Hero FinCorp,3.9,2.3k,5.4k,110,25,129
383,3i Infotech,3.4,2.3k,10.5k,159,31,149
384,Info Edge,4.0,2.3k,11k,373,332,299
385,Cholamandalam MS General Insurance,3.7,2.3k,5.8k,114,,166
386,KocharTech,3.7,2.3k,3.7k,79,60,582
387,Cadila Pharmaceuticals,3.3,2.3k,7.7k,151,229,167
388,Aditya Birla Group,4.1,2.3k,9.9k,228,5,248
389,Syngene International,3.9,2.3k,12.4k,185,2,217
390,Adani Group,3.8,2.3k,10.5k,268,1.7k,101
391,Cybage,3.8,2.3k,17.3k,212,49,268
392,Delhi Public School,3.8,2.3k,5.3k,150,174,258
393,Akums Drugs & Pharmaceuticals Limited,4.2,2.3k,6.2k,323,17,147
394,Bureau Veritas,3.8,2.3k,8.1k,138,16,176
395,Xoriant,4.1,2.3k,11.5k,229,36,413
396,Lifestyle,4.3,2.3k,6.8k,80,23,278
397,Aavas Financiers,3.9,2.3k,5.5k,112,51,138
398,Eureka Forbes,3.6,2.3k,5.4k,88,2,227
399,Sopra Steria,3.9,2.2k,13.7k,179,150,240
400,Kia India,3.9,2.2k,8k,171,87,165
401,Straive,3.3,2.2k,10k,218,89,122
402,GVK Emergency Management and Research Institute,3.6,2.2k,4.4k,105,36,176
403,Sobha,3.8,2.2k,8.3k,160,63,220
404,RMSI,3.6,2.2k,8.4k,185,17,184
405,Unacademy,2.9,2.2k,10.3k,230,33,153
406,Radisson Hotels,4.0,2.2k,5.1k,95,270,312
407,Myntra,3.9,2.2k,10.2k,255,86,305
408,Lava International,3.9,2.2k,4.3k,80,2,302
409,TaskUs,3.1,2.2k,9k,212,149,116
410,CorroHealth infotech,3.7,2.2k,7k,229,109,9
411,TCE,3.8,2.2k,9.1k,287,46,165
412,Team Computers,3.7,2.2k,8.4k,195,154,115
413,Endurance Technologies,3.9,2.2k,7.7k,130,12,230
414,SBI Securities,3.6,2.2k,6.7k,175,27,104
415,Apollo Pharmacy,3.7,2.2k,6.7k,170,1.1k,128
416,Panasonic Life Solutions India,3.9,2.2k,6.6k,92,16,105
417,Whirlpool,3.9,2.2k,7.9k,114,22,201
418,GlaxoSmithKline Pharmaceuticals,4.0,2.2k,5.6k,124,32,112
419,Star Union Dai-ichi Life Insurance,3.8,2.2k,5k,127,31,95
420,Nokia Networks,4.1,2.2k,10.5k,126,,10
421,Adani Wilmar,4.0,2.1k,6.6k,128,100,171
422,Indian Railways,4.2,2.1k,3.3k,111,,158
423,Cisco,4.1,2.1k,18.6k,401,212,223
424,Lodha,4.1,2.1k,8.5k,160,194,173
425,Renault Nissan Technology & Business Centre India,3.8,2.1k,14.5k,151,54,210
426,Bharti AXA Life Insurance,3.6,2.1k,5.1k,142,176,170
427,Huawei Technologies,4.1,2.1k,8.1k,117,,288
428,SBI General Insurance,3.5,2.1k,6.3k,124,25,132
429,Coromandel International,4.1,2.1k,7.4k,121,23,217
430,Shahi Exports,3.9,2.1k,6.7k,123,50,228
431,Meesho,3.7,2.1k,9k,412,127,296
432,Bank of Baroda,3.5,2.1k,6.9k,109,,150
433,Daikin Airconditioning India Pvt. Ltd.,4.1,2.1k,7.5k,198,,144
434,Ambuja Cements,3.8,2.1k,5.9k,152,,211
435,Sify Technologies,3.7,2.1k,9.7k,144,43,152
436,ValueLabs,3.5,2.1k,15.7k,209,88,266
437,Simplex Infrastructures,3.4,2.1k,4.6k,78,,286
438,Allstate,3.6,2.1k,11.9k,152,12,186
439,Ola Cabs,3.3,2.1k,9.2k,153,19,227
440,Life Insurance Corporation of India,4.4,2.1k,4.5k,94,6,242
441,Microsoft Corporation,3.7,2.1k,28.1k,601,,196
442,BNP Paribas,3.7,2.1k,17.4k,205,260,174
443,BHEL,4.2,2.1k,5.1k,129,,231
444,Cargill,4.0,2.1k,8.2k,108,467,148
445,Spark Minda,3.8,2.1k,7k,151,5,36
446,Pfizer,3.9,2.1k,5.6k,81,46,276
447,Force Motors,3.6,2.1k,8.2k,142,,152
448,CAMS,3.6,2.1k,8.5k,139,28,50
449,upGrad,3.4,2.1k,9k,213,56,125
450,Power Mech Projects,3.8,2.1k,6.4k,118,4,158
451,FirstCry,3.6,2.1k,8.5k,205,12,79
452,Henry Harvin Education,3.6,2k,865,52,58,63
453,Bharat Petroleum,4.2,2k,6.6k,172,,187
454,Raymond Lifestyle Limited,4.1,2k,6.6k,110,3,230
455,Newgen Software Technologies,3.9,2k,11.3k,199,27,147
